time,binance,okx,spread_bps,elapsed_s,signal
09:26:18,76290.0,76288.7,0.2,0.15,
09:26:35,76295.6,76305.1,-1.2,0.14,
09:26:48,76305.91,76312.8,-0.9,0.14,
09:27:05,76305.9,76314.0,-1.1,0.15,
09:27:18,76311.93,76313.9,-0.3,0.13,
09:27:35,76311.93,76305.9,0.8,0.13,
09:27:48,76333.0,76340.8,-1.0,0.13,
09:28:05,76377.63,76387.9,-1.3,0.16,
09:28:18,76394.2,76392.8,0.2,0.13,
09:28:35,76384.04,76379.7,0.6,0.13,
09:28:48,76360.18,76357.5,0.4,0.11,
09:29:05,76358.52,76357.5,0.1,0.12,
09:29:18,76373.44,76375.0,-0.2,0.13,
09:29:35,76353.48,76353.8,-0.0,0.13,
09:30:18,76370.97,76375.8,-0.6,0.2,
09:30:35,76364.99,76372.5,-1.0,0.26,
09:30:45,76397.66,76400.0,-0.3,0.13,
09:31:28,76384.0,76386.6,-0.3,0.24,
09:31:28,76384.03,76390.0,-0.8,0.18,
09:31:35,76399.77,76399.3,0.1,0.15,
09:31:45,76400.0,76400.0,0.0,0.13,
09:32:05,76403.65,76404.9,-0.2,0.14,
09:32:15,76412.41,76418.5,-0.8,0.12,
09:32:35,76388.07,76393.4,-0.7,0.12,
09:32:45,76381.0,76383.2,-0.3,0.14,
09:33:05,76366.84,76369.4,-0.3,0.14,
09:33:15,76354.24,76355.9,-0.2,0.13,
09:33:35,76354.11,76355.8,-0.2,0.13,
09:33:45,76350.05,76350.2,-0.0,0.18,
09:34:05,76332.56,76334.9,-0.3,0.14,
09:34:15,76349.65,76344.3,0.7,0.13,
09:34:35,76370.13,76372.7,-0.3,0.15,
09:34:45,76362.82,76369.6,-0.9,0.13,
09:35:05,76350.0,76358.9,-1.2,0.14,
09:35:15,76338.22,76339.5,-0.2,0.14,
09:35:35,76288.22,76289.6,-0.2,0.13,
09:35:45,76279.05,76286.0,-0.9,0.15,
09:36:05,76274.52,76278.5,-0.5,0.14,
09:36:15,76279.41,76279.3,0.0,0.13,
09:36:35,76274.52,76276.0,-0.2,0.15,
09:36:45,76241.35,76242.8,-0.2,0.14,
09:37:05,76239.76,76242.2,-0.3,0.14,
09:37:15,76258.96,76268.9,-1.3,0.16,
09:37:35,76269.54,76270.0,-0.1,0.16,
09:37:45,76276.12,76278.7,-0.3,0.14,
09:38:05,76314.02,76319.3,-0.7,0.17,
09:38:15,76319.59,76320.0,-0.1,0.13,
09:38:35,76312.18,76312.7,-0.1,0.13,
09:38:45,76312.57,76313.6,-0.1,0.14,
09:39:05,76312.58,76318.9,-0.8,0.28,
09:39:15,76305.07,76305.3,-0.0,0.14,
09:39:35,76285.53,76280.4,0.7,0.13,
09:39:45,76281.29,76282.1,-0.1,0.13,
09:40:05,76286.8,76282.0,0.6,0.14,
09:40:15,76290.34,76290.9,-0.1,0.13,
09:40:35,76292.07,76290.8,0.2,0.13,
09:40:45,76284.07,76282.1,0.3,0.13,
09:41:05,76282.56,76282.6,-0.0,0.15,
09:41:15,76282.55,76284.5,-0.3,0.24,
09:41:35,76289.04,76290.2,-0.2,0.14,
09:41:45,76298.0,76299.9,-0.2,0.14,
09:42:05,76306.89,76310.4,-0.5,0.14,
09:42:15,76308.41,76310.4,-0.3,0.13,
09:42:35,76295.62,76297.9,-0.3,0.13,
09:42:45,76312.58,76316.6,-0.5,0.13,
09:43:05,76304.72,76310.8,-0.8,0.15,
09:43:15,76312.57,76312.3,0.0,0.14,
09:43:35,76350.0,76350.7,-0.1,0.14,
09:43:45,76341.59,76350.7,-1.2,0.12,
09:44:05,76350.79,76355.5,-0.6,0.14,
09:44:15,76370.0,76375.0,-0.7,0.13,
09:44:35,76351.06,76355.0,-0.5,0.14,
09:44:45,76351.05,76349.6,0.2,0.13,
09:45:05,76346.01,76348.8,-0.4,0.14,
09:45:15,76346.01,76344.3,0.2,0.14,
09:45:35,76351.06,76349.0,0.3,0.14,
09:45:45,76364.99,76367.8,-0.4,0.14,
09:46:05,76357.67,76360.0,-0.3,0.13,
09:46:15,76362.02,76359.9,0.3,0.13,
09:46:35,76357.16,76359.9,-0.4,0.12,
09:46:45,76369.99,76369.9,0.0,0.13,
09:47:05,76351.01,76350.0,0.1,0.23,
09:47:15,76351.01,76349.0,0.3,0.23,
09:47:35,76350.92,76349.0,0.3,0.13,
09:47:45,76347.4,76348.9,-0.2,0.13,
09:48:05,76360.0,76358.5,0.2,0.23,
09:48:15,76370.0,76365.7,0.6,0.12,
09:48:35,76375.28,76375.0,0.0,0.16,
